date,ticker,price
2024-01-01,AAPL,150.0866720076435
2024-01-02,AAPL,149.30268882347107
2024-01-03,AAPL,149.55899815278244
2024-01-04,AAPL,150.11307608326823
2024-01-05,AAPL,150.92051008442692
2024-01-06,AAPL,150.5514519130531
2024-01-07,AAPL,151.6128048831772
2024-01-08,AAPL,153.40790840778473
2024-01-09,AAPL,152.60518199119198
2024-01-10,AAPL,151.87739528112255
2024-01-11,AAPL,151.5891576896389
2024-01-12,AAPL,150.1211681683333
2024-01-13,AAPL,148.65780622430034
2024-01-14,AAPL,148.32589317182243
2024-01-15,AAPL,148.95996899814293
2024-01-16,AAPL,150.37742401842684
2024-01-17,AAPL,150.52586550821968
2024-01-18,AAPL,151.38104216735397
2024-01-19,AAPL,150.06708078507808
2024-01-20,AAPL,151.2019359792797
